timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664366008988,-0.45898438,-0.4013672,0.80371094,-0.09375,-0.5625,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009017,-0.45214844,-0.4033203,0.7939453000000001,-0.09375,-0.625,0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009047,-0.45800779999999996,-0.40722656,0.7988281,-0.53125,-0.375,0.6875,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009106,-0.4609375,-0.41113279999999996,0.79785156,-0.46875,0.0,0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009137,-0.46484375,-0.4091797,0.79785156,-0.09375,0.375,-0.25,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009166,-0.45605470000000004,-0.4013672,0.7939453000000001,0.0,-0.3125,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009227,-0.45117188,-0.4091797,0.7988281,-0.21875,-0.375,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009256,-0.45117188,-0.40527344,0.796875,0.0,-0.1875,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009286,-0.46191406,-0.40039062,0.7939453000000001,0.0625,-0.3125,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009348,-0.47167970000000004,-0.40820312,0.8076171999999999,-0.0625,-0.25,0.0,-57.875,-36.25,-90.1875,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009377,-0.45996094,-0.40820312,0.80859375,-0.09375,-0.625,0.125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009407,-0.45019529999999996,-0.41308594,0.7949219,-0.21875,-0.375,0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009468,-0.45898438,-0.40429688,0.8105469,-0.15625,-0.6875,0.5625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009497,-0.45703125,-0.4091797,0.7988281,-0.40625,-0.75,0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009527,-0.45996094,-0.40722656,0.7939453000000001,-0.21875,-0.5625,0.4375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009588,-0.45605470000000004,-0.4033203,0.78808594,-0.34375,-0.75,0.375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
